German;English
der, die, das;the
und;and
sein;to be
in;in
ein;a
zu;to, at
haben;to have
ich;I
werden;to become, get
sie;she, her
von;from, of
nicht;not
mit;with
es;it
sich;–self
auch;also, too
auf;on, at, in
für;for
an;at, on
er;he
so;so, thus, this way, such
dass;that
können;to be able to, can
dies;this, that
als;as, when
ihr;you, her
ja;yes, of course
wie;how
bei;by, with, at
oder;or
wir;we
aber;but
dann;then
man;one, you
da;there
sein;his, its
noch;still, yet
nach;after, towards
was;what
also;so
aus;out, out of, from
all;all
wenn;if, when
nur;only
müssen;to have to, must
sagen;to say
um (or um..zu);around, at
über;above, over, about
machen;to do, make
kein;no (not any of...)
das Jahr;year
du;you
mein;my, mine
schon;already
vor;in front of, before, ago
durch;through
geben;to give
mehr;more
andere (r, s);other
viel;much, a lot, many
kommen;to come
jetzt;now
sollen;should, ought to
mir;me
wollen;to want to
ganz;whole, all the
gehen;to go
sehr;very
hier;here
doch;however, still
bis;until, till
groß;big, large, great
wieder;again
dieses Mal.;this time
zwei;two
gut;good
wissen;to know
neu;new
sehen;to see
lassen;to let, allow, have done
uns;us
weil;because
unter;under
denn;because
stehen;to stand
jede (r, s);every
das Beispiel;example
die Zeit;time
erste (r, s);first
ihm;him
ihn;him
wo;where
lang;long
eigentlich;actually
damit;with it
selbst, selber;–self
unser;our
oben;above, up there
drei;three
wenig;few
die Frau;woman, wife, Mrs.
der Mensch;human being
das Deutsch;German
das Kind;child
etwas;something, some, a little
der Tag;day
nun;now
finden;to find
nichts, nix;nothing
bleiben;to stay, remain
sondern;but (on the contrary)
klein;small, little
zwischen;between
alt;old
gegen;against
liegen;to lie
ohne (or ohne..zu);without
nein, nee, nö;no
heute;today
weit;widely, far
heißen;to be called
denken;to think
eben;just now
erst (or erst mal);first, only, not until
natürlich;naturally, of course
ob;whether
hoch;high, tall
beide;both
der Mann;man
einfach;simple, easy
vielleicht;perhaps, maybe
dort;there
dabei;with it, there
einmal;once
ihnen;them
welch;which
nehmen;to take
tun;to do
seit;since, for
dürfen;to be allowed, may
glauben;to believe
halten;to stop, hold
nennen;to name, call
das Land;land, country, state
letzte (r, s);last
gleich;same, right away, just
solch;such
dazu;in addition, furthermore, to that
mögen;to like
die Frage;question
gar;at all
zeigen;to show
führen;to lead
möglich;possible
sprechen;to speak
während;during
das Haus;house
der Fall;case
eigen;own
bringen;to bring, take
die (pl) Leute;people
schön;beautiful, pleasant, good
einige;a few, some
bereits;already
die Arbeit;work
leben;to live
fahren;to drive, ride, go
meinen;to think, have an opinion
spät;late
etwa;about, approximately
wer;who, whoever
Prozent;per cent
fragen;to ask
gerade;just, just now
wichtig;important
zwar;admittedly, to be precise
die Hand;hand
wirklich;really, actually
kennen;to know someone
weitere (r, s);additional
genau;exact
jung;young
gelten;to be valid
die Stadt;city, town
der Herr;man, Mr.
Teil;part
das Problem;problem
die Welt;world
jedoch;however
stellen;to place, set
darauf, drauf;on it, to it
bisschen;a little
vier;four
nie;never
spielen;to play
denen;whom, that
das Recht;law
arbeiten;to work
brauchen;to need
folgen;to follow
lernen;to learn
das Ende;the end
kurz;short
die Million, Mio.;million
stark;strong
die Schule;school
die Woche;week
bestehen;to exist, insist, pass (an exam)
richtig;correct
dich;you, yourself
dafür;for it
sowie;as well as, as soon as
oft;often
der Vater;father
die Seite;side, page
verschieden;different, diverse
halt;just, simply
das Leben;life
allerdings;though, indeed, certainly
verstehen;to understand
fast;almost
wohl;well
dein;your
bestimmt;special, certain
die Mutter;mother
